========
Segment 0, number of frames = 41853, viterbi-score = 212271.426068
Printing random variables from (P,C,E)=(1,41852,0) sections
Ptn-0 P: G(0)=1,P1(0)=6,P2(0)=14,Z(0)=0
Ptn-9219 C: G(9219)=1,P1(9219)=6,P2(9219)=14,Z(9219)=1
Ptn-9220 C: G(9220)=1,P1(9220)=6,P2(9220)=14,Z(9220)=1
Ptn-9221 C: G(9221)=1,P1(9221)=6,P2(9221)=14,Z(9221)=1
Ptn-9222 C: G(9222)=1,P1(9222)=6,P2(9222)=14,Z(9222)=1
Ptn-9223 C: G(9223)=1,P1(9223)=6,P2(9223)=14,Z(9223)=1
Ptn-9224 C: G(9224)=1,P1(9224)=6,P2(9224)=14,Z(9224)=1
Ptn-9225 C: G(9225)=1,P1(9225)=6,P2(9225)=14,Z(9225)=1
Ptn-9226 C: G(9226)=1,P1(9226)=6,P2(9226)=14,Z(9226)=1
Ptn-9227 C: G(9227)=1,P1(9227)=6,P2(9227)=14,Z(9227)=1
Ptn-9228 C: G(9228)=1,P1(9228)=6,P2(9228)=14,Z(9228)=1
Ptn-9229 C: G(9229)=1,P1(9229)=6,P2(9229)=14,Z(9229)=1
Ptn-9230 C: G(9230)=1,P1(9230)=6,P2(9230)=14,Z(9230)=1
Ptn-9231 C: G(9231)=1,P1(9231)=6,P2(9231)=14,Z(9231)=1
Ptn-9232 C: G(9232)=1,P1(9232)=6,P2(9232)=14,Z(9232)=1
Ptn-9233 C: G(9233)=1,P1(9233)=6,P2(9233)=14,Z(9233)=1
Ptn-9234 C: G(9234)=1,P1(9234)=6,P2(9234)=14,Z(9234)=1
Ptn-9235 C: G(9235)=1,P1(9235)=6,P2(9235)=14,Z(9235)=1
Ptn-9236 C: G(9236)=1,P1(9236)=6,P2(9236)=14,Z(9236)=1
Ptn-9237 C: G(9237)=1,P1(9237)=6,P2(9237)=14,Z(9237)=1
Ptn-9238 C: G(9238)=1,P1(9238)=6,P2(9238)=14,Z(9238)=1
Ptn-9239 C: G(9239)=1,P1(9239)=6,P2(9239)=14,Z(9239)=1
Ptn-9240 C: G(9240)=1,P1(9240)=6,P2(9240)=14,Z(9240)=1
Ptn-9241 C: G(9241)=1,P1(9241)=6,P2(9241)=14,Z(9241)=1
Ptn-9242 C: G(9242)=1,P1(9242)=6,P2(9242)=14,Z(9242)=1
Ptn-9243 C: G(9243)=1,P1(9243)=6,P2(9243)=14,Z(9243)=1
Ptn-9244 C: G(9244)=1,P1(9244)=6,P2(9244)=14,Z(9244)=1
Ptn-9245 C: G(9245)=1,P1(9245)=6,P2(9245)=14,Z(9245)=1
Ptn-9246 C: G(9246)=1,P1(9246)=6,P2(9246)=14,Z(9246)=1
Ptn-9247 C: G(9247)=1,P1(9247)=6,P2(9247)=14,Z(9247)=1
Ptn-9248 C: G(9248)=1,P1(9248)=6,P2(9248)=14,Z(9248)=1
Ptn-9249 C: G(9249)=1,P1(9249)=6,P2(9249)=14,Z(9249)=1
Ptn-9250 C: G(9250)=1,P1(9250)=6,P2(9250)=14,Z(9250)=1
Ptn-9251 C: G(9251)=1,P1(9251)=6,P2(9251)=14,Z(9251)=1
Ptn-9252 C: G(9252)=1,P1(9252)=6,P2(9252)=14,Z(9252)=1
Ptn-9253 C: G(9253)=1,P1(9253)=6,P2(9253)=14,Z(9253)=1
Ptn-9254 C: G(9254)=1,P1(9254)=6,P2(9254)=14,Z(9254)=1
Ptn-9255 C: G(9255)=1,P1(9255)=6,P2(9255)=14,Z(9255)=1
Ptn-9256 C: G(9256)=1,P1(9256)=6,P2(9256)=14,Z(9256)=1
Ptn-9257 C: G(9257)=1,P1(9257)=6,P2(9257)=14,Z(9257)=1
Ptn-9258 C: G(9258)=1,P1(9258)=6,P2(9258)=14,Z(9258)=1
Ptn-9259 C: G(9259)=1,P1(9259)=6,P2(9259)=14,Z(9259)=1
Ptn-9260 C: G(9260)=1,P1(9260)=6,P2(9260)=14,Z(9260)=1
Ptn-9261 C: G(9261)=1,P1(9261)=6,P2(9261)=14,Z(9261)=1
Ptn-9262 C: G(9262)=1,P1(9262)=6,P2(9262)=14,Z(9262)=1
Ptn-9263 C: G(9263)=1,P1(9263)=6,P2(9263)=14,Z(9263)=1
Ptn-9264 C: G(9264)=1,P1(9264)=6,P2(9264)=14,Z(9264)=1
Ptn-9265 C: G(9265)=1,P1(9265)=6,P2(9265)=14,Z(9265)=1
Ptn-9266 C: G(9266)=1,P1(9266)=6,P2(9266)=14,Z(9266)=1
Ptn-9267 C: G(9267)=1,P1(9267)=6,P2(9267)=14,Z(9267)=1
Ptn-9268 C: G(9268)=1,P1(9268)=6,P2(9268)=14,Z(9268)=1
Ptn-9269 C: G(9269)=1,P1(9269)=6,P2(9269)=14,Z(9269)=1
Ptn-9270 C: G(9270)=1,P1(9270)=6,P2(9270)=14,Z(9270)=1
Ptn-9271 C: G(9271)=1,P1(9271)=6,P2(9271)=14,Z(9271)=1
Ptn-9272 C: G(9272)=1,P1(9272)=6,P2(9272)=14,Z(9272)=1
Ptn-9273 C: G(9273)=1,P1(9273)=6,P2(9273)=14,Z(9273)=1
Ptn-9274 C: G(9274)=1,P1(9274)=6,P2(9274)=14,Z(9274)=1
Ptn-9275 C: G(9275)=1,P1(9275)=6,P2(9275)=14,Z(9275)=1
Ptn-9276 C: G(9276)=1,P1(9276)=6,P2(9276)=14,Z(9276)=1
Ptn-9277 C: G(9277)=1,P1(9277)=6,P2(9277)=14,Z(9277)=1
Ptn-9278 C: G(9278)=1,P1(9278)=6,P2(9278)=14,Z(9278)=1
Ptn-9279 C: G(9279)=1,P1(9279)=6,P2(9279)=14,Z(9279)=1
Ptn-9280 C: G(9280)=1,P1(9280)=6,P2(9280)=14,Z(9280)=1
Ptn-9281 C: G(9281)=1,P1(9281)=6,P2(9281)=14,Z(9281)=1
Ptn-9282 C: G(9282)=1,P1(9282)=6,P2(9282)=14,Z(9282)=1
Ptn-9283 C: G(9283)=1,P1(9283)=6,P2(9283)=14,Z(9283)=1
Ptn-9284 C: G(9284)=1,P1(9284)=6,P2(9284)=14,Z(9284)=1
Ptn-9285 C: G(9285)=1,P1(9285)=6,P2(9285)=14,Z(9285)=1
Ptn-9286 C: G(9286)=1,P1(9286)=6,P2(9286)=14,Z(9286)=1
Ptn-9287 C: G(9287)=1,P1(9287)=6,P2(9287)=14,Z(9287)=1
Ptn-9288 C: G(9288)=1,P1(9288)=6,P2(9288)=14,Z(9288)=1
Ptn-9289 C: G(9289)=1,P1(9289)=6,P2(9289)=14,Z(9289)=1
Ptn-9290 C: G(9290)=1,P1(9290)=6,P2(9290)=14,Z(9290)=1
Ptn-9291 C: G(9291)=1,P1(9291)=6,P2(9291)=14,Z(9291)=1
Ptn-9292 C: G(9292)=1,P1(9292)=6,P2(9292)=14,Z(9292)=1
Ptn-9293 C: G(9293)=1,P1(9293)=6,P2(9293)=14,Z(9293)=1
Ptn-9294 C: G(9294)=1,P1(9294)=6,P2(9294)=14,Z(9294)=1
Ptn-9295 C: G(9295)=1,P1(9295)=6,P2(9295)=14,Z(9295)=1
Ptn-9296 C: G(9296)=1,P1(9296)=6,P2(9296)=14,Z(9296)=1
Ptn-9297 C: G(9297)=1,P1(9297)=6,P2(9297)=14,Z(9297)=1
Ptn-9298 C: G(9298)=1,P1(9298)=6,P2(9298)=14,Z(9298)=1
Ptn-9299 C: G(9299)=1,P1(9299)=6,P2(9299)=14,Z(9299)=1
Ptn-9300 C: G(9300)=1,P1(9300)=6,P2(9300)=14,Z(9300)=1
Ptn-9301 C: G(9301)=1,P1(9301)=6,P2(9301)=14,Z(9301)=1
Ptn-9302 C: G(9302)=1,P1(9302)=6,P2(9302)=14,Z(9302)=1
Ptn-9303 C: G(9303)=1,P1(9303)=6,P2(9303)=14,Z(9303)=1
Ptn-9304 C: G(9304)=1,P1(9304)=6,P2(9304)=14,Z(9304)=1
Ptn-9305 C: G(9305)=1,P1(9305)=6,P2(9305)=14,Z(9305)=1
Ptn-9306 C: G(9306)=1,P1(9306)=6,P2(9306)=14,Z(9306)=1
Ptn-9307 C: G(9307)=1,P1(9307)=6,P2(9307)=14,Z(9307)=1
Ptn-9308 C: G(9308)=1,P1(9308)=6,P2(9308)=14,Z(9308)=1
Ptn-9309 C: G(9309)=1,P1(9309)=6,P2(9309)=14,Z(9309)=1
Ptn-9310 C: G(9310)=1,P1(9310)=6,P2(9310)=14,Z(9310)=1
Ptn-9311 C: G(9311)=1,P1(9311)=6,P2(9311)=14,Z(9311)=1
Ptn-9312 C: G(9312)=1,P1(9312)=6,P2(9312)=14,Z(9312)=1
Ptn-9313 C: G(9313)=1,P1(9313)=6,P2(9313)=14,Z(9313)=1
Ptn-9314 C: G(9314)=1,P1(9314)=6,P2(9314)=14,Z(9314)=1
Ptn-9315 C: G(9315)=1,P1(9315)=6,P2(9315)=14,Z(9315)=1
Ptn-9316 C: G(9316)=1,P1(9316)=6,P2(9316)=14,Z(9316)=1
Ptn-9317 C: G(9317)=1,P1(9317)=6,P2(9317)=14,Z(9317)=1
Ptn-9318 C: G(9318)=1,P1(9318)=6,P2(9318)=14,Z(9318)=1
Ptn-9319 C: G(9319)=1,P1(9319)=6,P2(9319)=14,Z(9319)=1
Ptn-9320 C: G(9320)=1,P1(9320)=6,P2(9320)=14,Z(9320)=1
Ptn-9321 C: G(9321)=1,P1(9321)=6,P2(9321)=14,Z(9321)=1
Ptn-9322 C: G(9322)=1,P1(9322)=6,P2(9322)=14,Z(9322)=1
Ptn-9323 C: G(9323)=1,P1(9323)=6,P2(9323)=14,Z(9323)=1
Ptn-9324 C: G(9324)=1,P1(9324)=6,P2(9324)=14,Z(9324)=1
Ptn-9325 C: G(9325)=1,P1(9325)=6,P2(9325)=14,Z(9325)=1
Ptn-9326 C: G(9326)=1,P1(9326)=6,P2(9326)=14,Z(9326)=1
Ptn-9327 C: G(9327)=1,P1(9327)=6,P2(9327)=14,Z(9327)=1
Ptn-9328 C: G(9328)=1,P1(9328)=6,P2(9328)=14,Z(9328)=1
Ptn-9329 C: G(9329)=1,P1(9329)=6,P2(9329)=14,Z(9329)=1
Ptn-9330 C: G(9330)=1,P1(9330)=6,P2(9330)=14,Z(9330)=1
Ptn-9331 C: G(9331)=1,P1(9331)=6,P2(9331)=14,Z(9331)=1
Ptn-9332 C: G(9332)=1,P1(9332)=6,P2(9332)=14,Z(9332)=1
Ptn-9333 C: G(9333)=1,P1(9333)=6,P2(9333)=14,Z(9333)=1
Ptn-9334 C: G(9334)=3,P1(9334)=6,P2(9334)=14,Z(9334)=1
Ptn-9335 C: G(9335)=3,P1(9335)=6,P2(9335)=14,Z(9335)=1
Ptn-9336 C: G(9336)=3,P1(9336)=6,P2(9336)=14,Z(9336)=1
Ptn-9337 C: G(9337)=3,P1(9337)=6,P2(9337)=14,Z(9337)=1
Ptn-9338 C: G(9338)=3,P1(9338)=6,P2(9338)=14,Z(9338)=1
Ptn-9339 C: G(9339)=2,P1(9339)=6,P2(9339)=14,Z(9339)=1
Ptn-9340 C: G(9340)=3,P1(9340)=6,P2(9340)=14,Z(9340)=1
Ptn-9341 C: G(9341)=1,P1(9341)=6,P2(9341)=14,Z(9341)=1
Ptn-9342 C: G(9342)=1,P1(9342)=6,P2(9342)=14,Z(9342)=1
Ptn-9343 C: G(9343)=1,P1(9343)=6,P2(9343)=14,Z(9343)=1
Ptn-9344 C: G(9344)=1,P1(9344)=6,P2(9344)=14,Z(9344)=1
Ptn-9345 C: G(9345)=1,P1(9345)=6,P2(9345)=14,Z(9345)=1
Ptn-9346 C: G(9346)=1,P1(9346)=6,P2(9346)=14,Z(9346)=1
Ptn-9347 C: G(9347)=1,P1(9347)=6,P2(9347)=14,Z(9347)=1
Ptn-9348 C: G(9348)=1,P1(9348)=6,P2(9348)=14,Z(9348)=1
Ptn-9349 C: G(9349)=1,P1(9349)=6,P2(9349)=14,Z(9349)=1
Ptn-9350 C: G(9350)=1,P1(9350)=6,P2(9350)=14,Z(9350)=1
Ptn-9351 C: G(9351)=2,P1(9351)=6,P2(9351)=14,Z(9351)=1
Ptn-9352 C: G(9352)=2,P1(9352)=6,P2(9352)=14,Z(9352)=1
Ptn-9353 C: G(9353)=2,P1(9353)=6,P2(9353)=14,Z(9353)=1
Ptn-9354 C: G(9354)=2,P1(9354)=6,P2(9354)=14,Z(9354)=1
Ptn-9355 C: G(9355)=2,P1(9355)=6,P2(9355)=14,Z(9355)=1
Ptn-9356 C: G(9356)=2,P1(9356)=6,P2(9356)=14,Z(9356)=1
Ptn-9357 C: G(9357)=2,P1(9357)=6,P2(9357)=14,Z(9357)=1
Ptn-9358 C: G(9358)=3,P1(9358)=6,P2(9358)=14,Z(9358)=1
Ptn-9359 C: G(9359)=3,P1(9359)=6,P2(9359)=14,Z(9359)=0
Ptn-9360 C: G(9360)=2,P1(9360)=6,P2(9360)=14,Z(9360)=0
Ptn-9361 C: G(9361)=2,P1(9361)=6,P2(9361)=14,Z(9361)=0
Ptn-9362 C: G(9362)=2,P1(9362)=6,P2(9362)=14,Z(9362)=0
Ptn-9363 C: G(9363)=2,P1(9363)=6,P2(9363)=14,Z(9363)=0
Ptn-9364 C: G(9364)=2,P1(9364)=6,P2(9364)=14,Z(9364)=0
Ptn-9365 C: G(9365)=2,P1(9365)=6,P2(9365)=14,Z(9365)=0
Ptn-9366 C: G(9366)=2,P1(9366)=6,P2(9366)=14,Z(9366)=0
Ptn-9367 C: G(9367)=2,P1(9367)=6,P2(9367)=14,Z(9367)=0
Ptn-9368 C: G(9368)=2,P1(9368)=6,P2(9368)=14,Z(9368)=0
Ptn-9369 C: G(9369)=2,P1(9369)=6,P2(9369)=14,Z(9369)=0
Ptn-9370 C: G(9370)=2,P1(9370)=6,P2(9370)=14,Z(9370)=0
Ptn-9371 C: G(9371)=2,P1(9371)=6,P2(9371)=14,Z(9371)=0
Ptn-9372 C: G(9372)=2,P1(9372)=6,P2(9372)=14,Z(9372)=0
Ptn-9373 C: G(9373)=2,P1(9373)=6,P2(9373)=14,Z(9373)=0
Ptn-9374 C: G(9374)=2,P1(9374)=6,P2(9374)=14,Z(9374)=0
Ptn-9375 C: G(9375)=2,P1(9375)=6,P2(9375)=14,Z(9375)=0
Ptn-9376 C: G(9376)=2,P1(9376)=6,P2(9376)=14,Z(9376)=0
Ptn-9377 C: G(9377)=2,P1(9377)=6,P2(9377)=14,Z(9377)=0
Ptn-9378 C: G(9378)=2,P1(9378)=6,P2(9378)=14,Z(9378)=0
Ptn-9379 C: G(9379)=2,P1(9379)=6,P2(9379)=14,Z(9379)=0
Ptn-9380 C: G(9380)=2,P1(9380)=6,P2(9380)=14,Z(9380)=0
Ptn-9381 C: G(9381)=2,P1(9381)=6,P2(9381)=14,Z(9381)=0
Ptn-9382 C: G(9382)=2,P1(9382)=6,P2(9382)=14,Z(9382)=0
Ptn-9383 C: G(9383)=2,P1(9383)=6,P2(9383)=14,Z(9383)=0
Ptn-9384 C: G(9384)=2,P1(9384)=6,P2(9384)=14,Z(9384)=0
Ptn-9385 C: G(9385)=2,P1(9385)=6,P2(9385)=14,Z(9385)=0
Ptn-9386 C: G(9386)=2,P1(9386)=6,P2(9386)=14,Z(9386)=0
Ptn-9387 C: G(9387)=2,P1(9387)=6,P2(9387)=14,Z(9387)=0
Ptn-9388 C: G(9388)=2,P1(9388)=6,P2(9388)=14,Z(9388)=0
Ptn-9389 C: G(9389)=2,P1(9389)=6,P2(9389)=14,Z(9389)=0
Ptn-9390 C: G(9390)=2,P1(9390)=6,P2(9390)=14,Z(9390)=0
Ptn-9391 C: G(9391)=2,P1(9391)=6,P2(9391)=14,Z(9391)=0
Ptn-9392 C: G(9392)=2,P1(9392)=6,P2(9392)=14,Z(9392)=0
Ptn-9393 C: G(9393)=2,P1(9393)=6,P2(9393)=14,Z(9393)=0
Ptn-9394 C: G(9394)=2,P1(9394)=6,P2(9394)=14,Z(9394)=0
Ptn-9395 C: G(9395)=2,P1(9395)=6,P2(9395)=14,Z(9395)=0
Ptn-9396 C: G(9396)=2,P1(9396)=6,P2(9396)=14,Z(9396)=0
Ptn-9397 C: G(9397)=2,P1(9397)=6,P2(9397)=14,Z(9397)=0
Ptn-9398 C: G(9398)=2,P1(9398)=6,P2(9398)=14,Z(9398)=0
Ptn-9399 C: G(9399)=2,P1(9399)=6,P2(9399)=14,Z(9399)=0
Ptn-9400 C: G(9400)=2,P1(9400)=6,P2(9400)=14,Z(9400)=0
Ptn-9401 C: G(9401)=2,P1(9401)=6,P2(9401)=14,Z(9401)=0
Ptn-9402 C: G(9402)=2,P1(9402)=6,P2(9402)=14,Z(9402)=0
Ptn-9403 C: G(9403)=2,P1(9403)=6,P2(9403)=14,Z(9403)=0
Ptn-9404 C: G(9404)=2,P1(9404)=6,P2(9404)=14,Z(9404)=0
Ptn-9405 C: G(9405)=2,P1(9405)=6,P2(9405)=14,Z(9405)=0
Ptn-9406 C: G(9406)=2,P1(9406)=6,P2(9406)=14,Z(9406)=0
Ptn-9407 C: G(9407)=2,P1(9407)=6,P2(9407)=14,Z(9407)=0
Ptn-9408 C: G(9408)=2,P1(9408)=6,P2(9408)=14,Z(9408)=0
Ptn-9409 C: G(9409)=2,P1(9409)=6,P2(9409)=14,Z(9409)=0
Ptn-9410 C: G(9410)=2,P1(9410)=6,P2(9410)=14,Z(9410)=0
Ptn-9411 C: G(9411)=2,P1(9411)=6,P2(9411)=14,Z(9411)=0
Ptn-9412 C: G(9412)=2,P1(9412)=6,P2(9412)=14,Z(9412)=0
Ptn-9413 C: G(9413)=2,P1(9413)=6,P2(9413)=14,Z(9413)=0
Ptn-9414 C: G(9414)=2,P1(9414)=6,P2(9414)=14,Z(9414)=0
Ptn-9415 C: G(9415)=2,P1(9415)=6,P2(9415)=14,Z(9415)=0
Ptn-9416 C: G(9416)=2,P1(9416)=6,P2(9416)=14,Z(9416)=0
Ptn-9417 C: G(9417)=2,P1(9417)=6,P2(9417)=14,Z(9417)=0
Ptn-9418 C: G(9418)=2,P1(9418)=6,P2(9418)=14,Z(9418)=0
Ptn-9419 C: G(9419)=2,P1(9419)=6,P2(9419)=14,Z(9419)=0
Ptn-9420 C: G(9420)=2,P1(9420)=6,P2(9420)=14,Z(9420)=0
Ptn-9421 C: G(9421)=2,P1(9421)=6,P2(9421)=14,Z(9421)=0
Ptn-9422 C: G(9422)=2,P1(9422)=6,P2(9422)=14,Z(9422)=0
Ptn-9423 C: G(9423)=2,P1(9423)=6,P2(9423)=14,Z(9423)=0
Ptn-9424 C: G(9424)=2,P1(9424)=6,P2(9424)=14,Z(9424)=0
Ptn-9425 C: G(9425)=2,P1(9425)=6,P2(9425)=14,Z(9425)=0
Ptn-9426 C: G(9426)=2,P1(9426)=6,P2(9426)=14,Z(9426)=0
Ptn-9427 C: G(9427)=2,P1(9427)=6,P2(9427)=14,Z(9427)=0
Ptn-9428 C: G(9428)=2,P1(9428)=6,P2(9428)=14,Z(9428)=0
Ptn-9429 C: G(9429)=2,P1(9429)=6,P2(9429)=14,Z(9429)=0
Ptn-9430 C: G(9430)=2,P1(9430)=6,P2(9430)=14,Z(9430)=0
Ptn-9431 C: G(9431)=2,P1(9431)=6,P2(9431)=14,Z(9431)=0
Ptn-9432 C: G(9432)=2,P1(9432)=6,P2(9432)=14,Z(9432)=0
Ptn-9433 C: G(9433)=2,P1(9433)=6,P2(9433)=14,Z(9433)=0
Ptn-9434 C: G(9434)=2,P1(9434)=6,P2(9434)=14,Z(9434)=0
Ptn-9435 C: G(9435)=2,P1(9435)=6,P2(9435)=14,Z(9435)=0
Ptn-9436 C: G(9436)=2,P1(9436)=6,P2(9436)=14,Z(9436)=0
Ptn-9437 C: G(9437)=2,P1(9437)=6,P2(9437)=14,Z(9437)=0
Ptn-9438 C: G(9438)=2,P1(9438)=6,P2(9438)=14,Z(9438)=0
Ptn-9439 C: G(9439)=2,P1(9439)=6,P2(9439)=14,Z(9439)=0
Ptn-9440 C: G(9440)=2,P1(9440)=6,P2(9440)=14,Z(9440)=0
Ptn-9441 C: G(9441)=2,P1(9441)=6,P2(9441)=14,Z(9441)=0
Ptn-9442 C: G(9442)=2,P1(9442)=6,P2(9442)=14,Z(9442)=0
Ptn-9443 C: G(9443)=2,P1(9443)=6,P2(9443)=14,Z(9443)=0
Ptn-9444 C: G(9444)=2,P1(9444)=6,P2(9444)=14,Z(9444)=0
Ptn-9445 C: G(9445)=2,P1(9445)=6,P2(9445)=14,Z(9445)=0
Ptn-9446 C: G(9446)=2,P1(9446)=6,P2(9446)=14,Z(9446)=0
Ptn-9447 C: G(9447)=2,P1(9447)=6,P2(9447)=14,Z(9447)=0
Ptn-9448 C: G(9448)=2,P1(9448)=6,P2(9448)=14,Z(9448)=0
Ptn-9449 C: G(9449)=2,P1(9449)=6,P2(9449)=14,Z(9449)=0
Ptn-9450 C: G(9450)=2,P1(9450)=6,P2(9450)=14,Z(9450)=0
Ptn-9451 C: G(9451)=2,P1(9451)=6,P2(9451)=14,Z(9451)=0
Ptn-9452 C: G(9452)=2,P1(9452)=6,P2(9452)=14,Z(9452)=0
Ptn-9453 C: G(9453)=2,P1(9453)=6,P2(9453)=14,Z(9453)=0
Ptn-9454 C: G(9454)=2,P1(9454)=6,P2(9454)=14,Z(9454)=0
Ptn-9455 C: G(9455)=2,P1(9455)=6,P2(9455)=14,Z(9455)=0
Ptn-9456 C: G(9456)=2,P1(9456)=6,P2(9456)=14,Z(9456)=0
Ptn-9457 C: G(9457)=2,P1(9457)=6,P2(9457)=14,Z(9457)=0
Ptn-9458 C: G(9458)=2,P1(9458)=6,P2(9458)=14,Z(9458)=0
Ptn-9459 C: G(9459)=2,P1(9459)=6,P2(9459)=14,Z(9459)=0
Ptn-9460 C: G(9460)=2,P1(9460)=6,P2(9460)=14,Z(9460)=0
Ptn-9461 C: G(9461)=2,P1(9461)=6,P2(9461)=14,Z(9461)=0
Ptn-9462 C: G(9462)=2,P1(9462)=6,P2(9462)=14,Z(9462)=0
Ptn-9463 C: G(9463)=2,P1(9463)=6,P2(9463)=14,Z(9463)=0
Ptn-9464 C: G(9464)=2,P1(9464)=6,P2(9464)=14,Z(9464)=0
Ptn-9465 C: G(9465)=2,P1(9465)=6,P2(9465)=14,Z(9465)=0
Ptn-9466 C: G(9466)=2,P1(9466)=6,P2(9466)=14,Z(9466)=0
Ptn-9467 C: G(9467)=2,P1(9467)=6,P2(9467)=14,Z(9467)=0
Ptn-9468 C: G(9468)=2,P1(9468)=6,P2(9468)=14,Z(9468)=0
Ptn-9469 C: G(9469)=2,P1(9469)=6,P2(9469)=14,Z(9469)=0
Ptn-9470 C: G(9470)=2,P1(9470)=6,P2(9470)=14,Z(9470)=0
Ptn-9471 C: G(9471)=2,P1(9471)=6,P2(9471)=14,Z(9471)=0
Ptn-9472 C: G(9472)=2,P1(9472)=6,P2(9472)=14,Z(9472)=0
Ptn-9473 C: G(9473)=2,P1(9473)=6,P2(9473)=14,Z(9473)=0
Ptn-9474 C: G(9474)=2,P1(9474)=6,P2(9474)=14,Z(9474)=0
Ptn-9475 C: G(9475)=2,P1(9475)=6,P2(9475)=14,Z(9475)=0
Ptn-9476 C: G(9476)=2,P1(9476)=6,P2(9476)=14,Z(9476)=0
Ptn-9477 C: G(9477)=2,P1(9477)=6,P2(9477)=14,Z(9477)=0
Ptn-9478 C: G(9478)=2,P1(9478)=6,P2(9478)=14,Z(9478)=0
Ptn-9479 C: G(9479)=2,P1(9479)=6,P2(9479)=14,Z(9479)=0
Ptn-9480 C: G(9480)=2,P1(9480)=6,P2(9480)=14,Z(9480)=0
Ptn-9481 C: G(9481)=2,P1(9481)=6,P2(9481)=14,Z(9481)=0
Ptn-9482 C: G(9482)=2,P1(9482)=6,P2(9482)=14,Z(9482)=0
Ptn-9483 C: G(9483)=2,P1(9483)=6,P2(9483)=14,Z(9483)=0
Ptn-9484 C: G(9484)=2,P1(9484)=6,P2(9484)=14,Z(9484)=0
Ptn-9485 C: G(9485)=2,P1(9485)=6,P2(9485)=14,Z(9485)=0
Ptn-9486 C: G(9486)=2,P1(9486)=6,P2(9486)=14,Z(9486)=0
Ptn-9487 C: G(9487)=2,P1(9487)=6,P2(9487)=14,Z(9487)=0
Ptn-9488 C: G(9488)=2,P1(9488)=6,P2(9488)=14,Z(9488)=0
Ptn-9489 C: G(9489)=2,P1(9489)=6,P2(9489)=14,Z(9489)=0
Ptn-9490 C: G(9490)=2,P1(9490)=6,P2(9490)=14,Z(9490)=0
Ptn-9491 C: G(9491)=2,P1(9491)=6,P2(9491)=14,Z(9491)=0
Ptn-9492 C: G(9492)=2,P1(9492)=6,P2(9492)=14,Z(9492)=0
Ptn-9493 C: G(9493)=2,P1(9493)=6,P2(9493)=14,Z(9493)=0
Ptn-9494 C: G(9494)=2,P1(9494)=6,P2(9494)=14,Z(9494)=0
Ptn-9495 C: G(9495)=2,P1(9495)=6,P2(9495)=14,Z(9495)=0
Ptn-9496 C: G(9496)=2,P1(9496)=6,P2(9496)=14,Z(9496)=0
Ptn-9497 C: G(9497)=2,P1(9497)=6,P2(9497)=14,Z(9497)=0
Ptn-9498 C: G(9498)=2,P1(9498)=6,P2(9498)=14,Z(9498)=0
Ptn-9499 C: G(9499)=2,P1(9499)=6,P2(9499)=14,Z(9499)=0
Ptn-9500 C: G(9500)=2,P1(9500)=6,P2(9500)=14,Z(9500)=0
Ptn-9501 C: G(9501)=2,P1(9501)=6,P2(9501)=14,Z(9501)=0
Ptn-9502 C: G(9502)=2,P1(9502)=6,P2(9502)=14,Z(9502)=0
Ptn-9503 C: G(9503)=2,P1(9503)=6,P2(9503)=14,Z(9503)=0
Ptn-9504 C: G(9504)=2,P1(9504)=6,P2(9504)=14,Z(9504)=0
Ptn-9505 C: G(9505)=2,P1(9505)=6,P2(9505)=14,Z(9505)=0
Ptn-9506 C: G(9506)=2,P1(9506)=6,P2(9506)=14,Z(9506)=0
Ptn-9507 C: G(9507)=2,P1(9507)=6,P2(9507)=14,Z(9507)=0
Ptn-9508 C: G(9508)=2,P1(9508)=6,P2(9508)=14,Z(9508)=0
Ptn-9509 C: G(9509)=2,P1(9509)=6,P2(9509)=14,Z(9509)=0
Ptn-9510 C: G(9510)=2,P1(9510)=6,P2(9510)=14,Z(9510)=0
Ptn-9511 C: G(9511)=2,P1(9511)=6,P2(9511)=14,Z(9511)=0
Ptn-9512 C: G(9512)=2,P1(9512)=6,P2(9512)=14,Z(9512)=0
Ptn-9513 C: G(9513)=2,P1(9513)=6,P2(9513)=14,Z(9513)=0
Ptn-9514 C: G(9514)=2,P1(9514)=6,P2(9514)=14,Z(9514)=0
Ptn-9515 C: G(9515)=2,P1(9515)=6,P2(9515)=14,Z(9515)=0
Ptn-9516 C: G(9516)=2,P1(9516)=6,P2(9516)=14,Z(9516)=0
Ptn-9517 C: G(9517)=3,P1(9517)=6,P2(9517)=14,Z(9517)=0
Ptn-9518 C: G(9518)=2,P1(9518)=6,P2(9518)=14,Z(9518)=0
Ptn-9519 C: G(9519)=2,P1(9519)=6,P2(9519)=14,Z(9519)=0
Ptn-9520 C: G(9520)=2,P1(9520)=6,P2(9520)=14,Z(9520)=0
Ptn-9521 C: G(9521)=2,P1(9521)=6,P2(9521)=14,Z(9521)=0
Ptn-9522 C: G(9522)=2,P1(9522)=6,P2(9522)=14,Z(9522)=0
Ptn-9523 C: G(9523)=2,P1(9523)=6,P2(9523)=14,Z(9523)=0
Ptn-9524 C: G(9524)=2,P1(9524)=6,P2(9524)=14,Z(9524)=0
Ptn-9525 C: G(9525)=2,P1(9525)=6,P2(9525)=14,Z(9525)=0
Ptn-9526 C: G(9526)=2,P1(9526)=6,P2(9526)=14,Z(9526)=0
