========
Segment 0, number of frames = 41853, viterbi-score = 332543.856961
Printing random variables from (P,C,E)=(1,41852,0) sections
Ptn-0 P: G(0)=1,Z(0)=1
Ptn-5005 C: G(5005)=1,Z(5005)=2
Ptn-5006 C: G(5006)=1,Z(5006)=2
Ptn-5007 C: G(5007)=1,Z(5007)=2
Ptn-5008 C: G(5008)=1,Z(5008)=2
Ptn-5009 C: G(5009)=1,Z(5009)=2
Ptn-5010 C: G(5010)=1,Z(5010)=2
Ptn-5011 C: G(5011)=1,Z(5011)=2
Ptn-5012 C: G(5012)=1,Z(5012)=2
Ptn-5013 C: G(5013)=1,Z(5013)=2
Ptn-5014 C: G(5014)=1,Z(5014)=2
Ptn-5015 C: G(5015)=1,Z(5015)=2
Ptn-5016 C: G(5016)=1,Z(5016)=2
Ptn-5017 C: G(5017)=1,Z(5017)=2
Ptn-5018 C: G(5018)=3,Z(5018)=2
Ptn-5019 C: G(5019)=3,Z(5019)=2
Ptn-5020 C: G(5020)=3,Z(5020)=2
Ptn-5021 C: G(5021)=3,Z(5021)=1
Ptn-5022 C: G(5022)=3,Z(5022)=1
Ptn-5023 C: G(5023)=1,Z(5023)=1
Ptn-5024 C: G(5024)=1,Z(5024)=1
Ptn-5025 C: G(5025)=3,Z(5025)=1
Ptn-5026 C: G(5026)=3,Z(5026)=1
Ptn-5027 C: G(5027)=3,Z(5027)=1
Ptn-5028 C: G(5028)=3,Z(5028)=1
Ptn-5029 C: G(5029)=2,Z(5029)=1
Ptn-5030 C: G(5030)=2,Z(5030)=1
Ptn-5031 C: G(5031)=2,Z(5031)=1
Ptn-5032 C: G(5032)=2,Z(5032)=1
Ptn-5033 C: G(5033)=2,Z(5033)=1
Ptn-5034 C: G(5034)=2,Z(5034)=1
Ptn-5035 C: G(5035)=2,Z(5035)=1
Ptn-5036 C: G(5036)=2,Z(5036)=1
Ptn-5037 C: G(5037)=2,Z(5037)=1
Ptn-5038 C: G(5038)=2,Z(5038)=1
Ptn-5039 C: G(5039)=2,Z(5039)=1
Ptn-5040 C: G(5040)=2,Z(5040)=1
Ptn-5041 C: G(5041)=2,Z(5041)=1
Ptn-5042 C: G(5042)=2,Z(5042)=1
Ptn-5043 C: G(5043)=2,Z(5043)=1
Ptn-5044 C: G(5044)=2,Z(5044)=1
Ptn-5045 C: G(5045)=2,Z(5045)=1
Ptn-5046 C: G(5046)=2,Z(5046)=1
Ptn-5047 C: G(5047)=2,Z(5047)=1
Ptn-5048 C: G(5048)=2,Z(5048)=1
Ptn-5049 C: G(5049)=2,Z(5049)=1
Ptn-5050 C: G(5050)=2,Z(5050)=1
Ptn-5051 C: G(5051)=2,Z(5051)=1
Ptn-5052 C: G(5052)=2,Z(5052)=1
Ptn-5053 C: G(5053)=2,Z(5053)=1
Ptn-5054 C: G(5054)=2,Z(5054)=1
Ptn-5055 C: G(5055)=2,Z(5055)=1
Ptn-5056 C: G(5056)=2,Z(5056)=1
Ptn-5057 C: G(5057)=2,Z(5057)=1
Ptn-5058 C: G(5058)=2,Z(5058)=1
Ptn-5059 C: G(5059)=2,Z(5059)=1
Ptn-5060 C: G(5060)=2,Z(5060)=1
Ptn-5061 C: G(5061)=2,Z(5061)=1
Ptn-5062 C: G(5062)=2,Z(5062)=1
Ptn-5063 C: G(5063)=2,Z(5063)=1
Ptn-5064 C: G(5064)=2,Z(5064)=1
Ptn-5065 C: G(5065)=2,Z(5065)=1
Ptn-5066 C: G(5066)=2,Z(5066)=1
Ptn-5067 C: G(5067)=2,Z(5067)=1
Ptn-5068 C: G(5068)=2,Z(5068)=1
Ptn-5069 C: G(5069)=2,Z(5069)=1
Ptn-5070 C: G(5070)=2,Z(5070)=1
Ptn-5071 C: G(5071)=2,Z(5071)=1
Ptn-5072 C: G(5072)=2,Z(5072)=1
Ptn-5073 C: G(5073)=2,Z(5073)=1
Ptn-5074 C: G(5074)=3,Z(5074)=1
Ptn-5075 C: G(5075)=2,Z(5075)=1
Ptn-5076 C: G(5076)=2,Z(5076)=1
Ptn-5077 C: G(5077)=2,Z(5077)=1
Ptn-5078 C: G(5078)=2,Z(5078)=1
Ptn-5079 C: G(5079)=2,Z(5079)=1
Ptn-5080 C: G(5080)=2,Z(5080)=1
Ptn-5081 C: G(5081)=2,Z(5081)=1
Ptn-5082 C: G(5082)=2,Z(5082)=1
Ptn-5083 C: G(5083)=2,Z(5083)=1
Ptn-5084 C: G(5084)=2,Z(5084)=1
Ptn-5085 C: G(5085)=2,Z(5085)=1
Ptn-5086 C: G(5086)=2,Z(5086)=1
Ptn-5087 C: G(5087)=2,Z(5087)=1
Ptn-5088 C: G(5088)=2,Z(5088)=1
Ptn-5089 C: G(5089)=2,Z(5089)=1
Ptn-5090 C: G(5090)=2,Z(5090)=1
Ptn-5091 C: G(5091)=2,Z(5091)=1
Ptn-5092 C: G(5092)=2,Z(5092)=1
Ptn-5093 C: G(5093)=2,Z(5093)=1
Ptn-5094 C: G(5094)=2,Z(5094)=1
Ptn-5095 C: G(5095)=2,Z(5095)=1
Ptn-5096 C: G(5096)=2,Z(5096)=1
Ptn-5097 C: G(5097)=4,Z(5097)=1
Ptn-5098 C: G(5098)=4,Z(5098)=1
Ptn-5099 C: G(5099)=4,Z(5099)=1
Ptn-5100 C: G(5100)=4,Z(5100)=1
Ptn-5101 C: G(5101)=4,Z(5101)=1
Ptn-5102 C: G(5102)=4,Z(5102)=1
Ptn-5103 C: G(5103)=2,Z(5103)=1
Ptn-5104 C: G(5104)=2,Z(5104)=1
Ptn-5105 C: G(5105)=2,Z(5105)=1
Ptn-5106 C: G(5106)=2,Z(5106)=1
Ptn-5107 C: G(5107)=2,Z(5107)=1
Ptn-5108 C: G(5108)=2,Z(5108)=1
Ptn-5109 C: G(5109)=2,Z(5109)=1
Ptn-5110 C: G(5110)=2,Z(5110)=1
Ptn-5111 C: G(5111)=2,Z(5111)=1
Ptn-5112 C: G(5112)=2,Z(5112)=1
Ptn-5113 C: G(5113)=2,Z(5113)=1
Ptn-5114 C: G(5114)=2,Z(5114)=1
Ptn-5115 C: G(5115)=2,Z(5115)=1
Ptn-5116 C: G(5116)=2,Z(5116)=1
Ptn-5117 C: G(5117)=2,Z(5117)=1
Ptn-5118 C: G(5118)=2,Z(5118)=1
Ptn-5119 C: G(5119)=2,Z(5119)=1
Ptn-5120 C: G(5120)=2,Z(5120)=1
Ptn-5121 C: G(5121)=4,Z(5121)=1
Ptn-5122 C: G(5122)=4,Z(5122)=1
Ptn-5123 C: G(5123)=4,Z(5123)=1
Ptn-5124 C: G(5124)=4,Z(5124)=1
Ptn-5125 C: G(5125)=4,Z(5125)=1
Ptn-5126 C: G(5126)=4,Z(5126)=1
Ptn-5127 C: G(5127)=4,Z(5127)=1
Ptn-5128 C: G(5128)=4,Z(5128)=1
Ptn-5129 C: G(5129)=4,Z(5129)=1
Ptn-5130 C: G(5130)=2,Z(5130)=1
Ptn-5131 C: G(5131)=2,Z(5131)=1
Ptn-5132 C: G(5132)=2,Z(5132)=1
Ptn-5133 C: G(5133)=2,Z(5133)=1
Ptn-5134 C: G(5134)=2,Z(5134)=1
Ptn-5135 C: G(5135)=2,Z(5135)=1
Ptn-5136 C: G(5136)=4,Z(5136)=1
Ptn-5137 C: G(5137)=4,Z(5137)=1
Ptn-5138 C: G(5138)=4,Z(5138)=1
Ptn-5139 C: G(5139)=4,Z(5139)=1
Ptn-5140 C: G(5140)=4,Z(5140)=1
Ptn-5141 C: G(5141)=4,Z(5141)=3
Ptn-5142 C: G(5142)=4,Z(5142)=3
Ptn-5143 C: G(5143)=4,Z(5143)=3
Ptn-5144 C: G(5144)=4,Z(5144)=3
Ptn-5145 C: G(5145)=4,Z(5145)=3
Ptn-5146 C: G(5146)=4,Z(5146)=3
Ptn-5147 C: G(5147)=4,Z(5147)=3
Ptn-5148 C: G(5148)=4,Z(5148)=3
Ptn-5149 C: G(5149)=4,Z(5149)=3
Ptn-5150 C: G(5150)=4,Z(5150)=1
Ptn-5151 C: G(5151)=2,Z(5151)=1
Ptn-5152 C: G(5152)=2,Z(5152)=1
Ptn-5153 C: G(5153)=2,Z(5153)=1
Ptn-5154 C: G(5154)=2,Z(5154)=1
Ptn-5155 C: G(5155)=2,Z(5155)=1
Ptn-5156 C: G(5156)=2,Z(5156)=1
Ptn-5157 C: G(5157)=2,Z(5157)=1
Ptn-5158 C: G(5158)=2,Z(5158)=1
Ptn-5159 C: G(5159)=2,Z(5159)=1
Ptn-5160 C: G(5160)=2,Z(5160)=1
Ptn-5161 C: G(5161)=4,Z(5161)=1
Ptn-5162 C: G(5162)=4,Z(5162)=1
Ptn-5163 C: G(5163)=4,Z(5163)=3
Ptn-5164 C: G(5164)=4,Z(5164)=3
Ptn-5165 C: G(5165)=4,Z(5165)=3
Ptn-5166 C: G(5166)=4,Z(5166)=3
Ptn-5167 C: G(5167)=4,Z(5167)=2
Ptn-5168 C: G(5168)=1,Z(5168)=2
Ptn-5169 C: G(5169)=1,Z(5169)=2
Ptn-5170 C: G(5170)=1,Z(5170)=2
Ptn-5171 C: G(5171)=1,Z(5171)=2
Ptn-5172 C: G(5172)=1,Z(5172)=2
Ptn-5173 C: G(5173)=1,Z(5173)=2
Ptn-5174 C: G(5174)=1,Z(5174)=2
Ptn-5175 C: G(5175)=1,Z(5175)=2
Ptn-5176 C: G(5176)=1,Z(5176)=2
Ptn-5177 C: G(5177)=1,Z(5177)=2
Ptn-5178 C: G(5178)=1,Z(5178)=2
Ptn-5179 C: G(5179)=1,Z(5179)=2
Ptn-5180 C: G(5180)=1,Z(5180)=2
Ptn-5181 C: G(5181)=4,Z(5181)=2
Ptn-5182 C: G(5182)=4,Z(5182)=2
Ptn-5183 C: G(5183)=4,Z(5183)=2
Ptn-5184 C: G(5184)=4,Z(5184)=2
Ptn-5185 C: G(5185)=4,Z(5185)=2
Ptn-5186 C: G(5186)=4,Z(5186)=2
Ptn-5187 C: G(5187)=4,Z(5187)=2
Ptn-5188 C: G(5188)=4,Z(5188)=2
Ptn-5189 C: G(5189)=1,Z(5189)=2
Ptn-5190 C: G(5190)=1,Z(5190)=2
Ptn-5191 C: G(5191)=1,Z(5191)=2
Ptn-5192 C: G(5192)=1,Z(5192)=2
Ptn-5193 C: G(5193)=1,Z(5193)=2
Ptn-5194 C: G(5194)=1,Z(5194)=2
Ptn-5195 C: G(5195)=1,Z(5195)=2
Ptn-5196 C: G(5196)=1,Z(5196)=2
Ptn-5197 C: G(5197)=1,Z(5197)=2
Ptn-5198 C: G(5198)=1,Z(5198)=2
Ptn-5199 C: G(5199)=1,Z(5199)=3
Ptn-5200 C: G(5200)=1,Z(5200)=3
Ptn-5201 C: G(5201)=1,Z(5201)=3
Ptn-5202 C: G(5202)=1,Z(5202)=3
Ptn-5203 C: G(5203)=1,Z(5203)=3
Ptn-5204 C: G(5204)=1,Z(5204)=3
Ptn-5205 C: G(5205)=1,Z(5205)=3
Ptn-5206 C: G(5206)=1,Z(5206)=3
Ptn-5207 C: G(5207)=1,Z(5207)=3
Ptn-5208 C: G(5208)=1,Z(5208)=1
Ptn-5209 C: G(5209)=1,Z(5209)=1
Ptn-5210 C: G(5210)=10,Z(5210)=3
Ptn-5211 C: G(5211)=10,Z(5211)=3
Ptn-5212 C: G(5212)=10,Z(5212)=3
Ptn-5213 C: G(5213)=2,Z(5213)=3
Ptn-5214 C: G(5214)=2,Z(5214)=3
Ptn-5215 C: G(5215)=2,Z(5215)=3
Ptn-5216 C: G(5216)=2,Z(5216)=3
Ptn-5217 C: G(5217)=2,Z(5217)=3
Ptn-5218 C: G(5218)=2,Z(5218)=3
Ptn-5219 C: G(5219)=2,Z(5219)=3
Ptn-5220 C: G(5220)=2,Z(5220)=3
Ptn-5221 C: G(5221)=2,Z(5221)=3
Ptn-5222 C: G(5222)=2,Z(5222)=3
Ptn-5223 C: G(5223)=2,Z(5223)=3
Ptn-5224 C: G(5224)=2,Z(5224)=3
Ptn-5225 C: G(5225)=2,Z(5225)=3
Ptn-5226 C: G(5226)=2,Z(5226)=3
Ptn-5227 C: G(5227)=2,Z(5227)=3
Ptn-5228 C: G(5228)=2,Z(5228)=3
Ptn-5229 C: G(5229)=2,Z(5229)=3
Ptn-5230 C: G(5230)=2,Z(5230)=3
Ptn-5231 C: G(5231)=2,Z(5231)=3
Ptn-5232 C: G(5232)=2,Z(5232)=3
Ptn-5233 C: G(5233)=2,Z(5233)=3
Ptn-5234 C: G(5234)=1,Z(5234)=3
Ptn-5235 C: G(5235)=1,Z(5235)=3
Ptn-5236 C: G(5236)=1,Z(5236)=2
Ptn-5237 C: G(5237)=1,Z(5237)=2
Ptn-5238 C: G(5238)=1,Z(5238)=2
Ptn-5239 C: G(5239)=1,Z(5239)=2
Ptn-5240 C: G(5240)=1,Z(5240)=2
Ptn-5241 C: G(5241)=1,Z(5241)=2
Ptn-5242 C: G(5242)=1,Z(5242)=2
Ptn-5243 C: G(5243)=1,Z(5243)=2
Ptn-5244 C: G(5244)=1,Z(5244)=2
Ptn-5245 C: G(5245)=1,Z(5245)=2
Ptn-5246 C: G(5246)=1,Z(5246)=2
Ptn-5247 C: G(5247)=1,Z(5247)=2
Ptn-5248 C: G(5248)=1,Z(5248)=2
Ptn-5249 C: G(5249)=1,Z(5249)=2
Ptn-5250 C: G(5250)=1,Z(5250)=2
Ptn-5251 C: G(5251)=2,Z(5251)=2
Ptn-5252 C: G(5252)=2,Z(5252)=2
Ptn-5253 C: G(5253)=2,Z(5253)=2
Ptn-5254 C: G(5254)=2,Z(5254)=2
Ptn-5255 C: G(5255)=2,Z(5255)=2
Ptn-5256 C: G(5256)=2,Z(5256)=2
Ptn-5257 C: G(5257)=2,Z(5257)=2
Ptn-5258 C: G(5258)=2,Z(5258)=2
Ptn-5259 C: G(5259)=2,Z(5259)=2
Ptn-5260 C: G(5260)=2,Z(5260)=2
Ptn-5261 C: G(5261)=4,Z(5261)=2
Ptn-5262 C: G(5262)=4,Z(5262)=2
Ptn-5263 C: G(5263)=4,Z(5263)=2
Ptn-5264 C: G(5264)=4,Z(5264)=2
Ptn-5265 C: G(5265)=4,Z(5265)=2
Ptn-5266 C: G(5266)=4,Z(5266)=2
Ptn-5267 C: G(5267)=4,Z(5267)=2
Ptn-5268 C: G(5268)=4,Z(5268)=2
Ptn-5269 C: G(5269)=4,Z(5269)=2
Ptn-5270 C: G(5270)=4,Z(5270)=2
Ptn-5271 C: G(5271)=4,Z(5271)=2
Ptn-5272 C: G(5272)=4,Z(5272)=1
Ptn-5273 C: G(5273)=4,Z(5273)=1
Ptn-5274 C: G(5274)=4,Z(5274)=1
Ptn-5275 C: G(5275)=2,Z(5275)=1
Ptn-5276 C: G(5276)=2,Z(5276)=1
Ptn-5277 C: G(5277)=2,Z(5277)=1
Ptn-5278 C: G(5278)=7,Z(5278)=1
Ptn-5279 C: G(5279)=2,Z(5279)=1
Ptn-5280 C: G(5280)=2,Z(5280)=1
Ptn-5281 C: G(5281)=2,Z(5281)=1
Ptn-5282 C: G(5282)=2,Z(5282)=1
Ptn-5283 C: G(5283)=2,Z(5283)=1
Ptn-5284 C: G(5284)=2,Z(5284)=1
Ptn-5285 C: G(5285)=2,Z(5285)=1
Ptn-5286 C: G(5286)=2,Z(5286)=1
Ptn-5287 C: G(5287)=2,Z(5287)=1
Ptn-5288 C: G(5288)=2,Z(5288)=1
Ptn-5289 C: G(5289)=2,Z(5289)=1
Ptn-5290 C: G(5290)=2,Z(5290)=1
Ptn-5291 C: G(5291)=2,Z(5291)=1
Ptn-5292 C: G(5292)=2,Z(5292)=1
Ptn-5293 C: G(5293)=2,Z(5293)=1
Ptn-5294 C: G(5294)=4,Z(5294)=1
Ptn-5295 C: G(5295)=4,Z(5295)=1
Ptn-5296 C: G(5296)=4,Z(5296)=1
Ptn-5297 C: G(5297)=4,Z(5297)=1
Ptn-5298 C: G(5298)=4,Z(5298)=1
Ptn-5299 C: G(5299)=2,Z(5299)=1
Ptn-5300 C: G(5300)=2,Z(5300)=1
Ptn-5301 C: G(5301)=2,Z(5301)=1
Ptn-5302 C: G(5302)=2,Z(5302)=1
Ptn-5303 C: G(5303)=2,Z(5303)=1
Ptn-5304 C: G(5304)=2,Z(5304)=1
Ptn-5305 C: G(5305)=2,Z(5305)=1
Ptn-5306 C: G(5306)=2,Z(5306)=1
Ptn-5307 C: G(5307)=2,Z(5307)=1
Ptn-5308 C: G(5308)=2,Z(5308)=1
Ptn-5309 C: G(5309)=2,Z(5309)=1
Ptn-5310 C: G(5310)=2,Z(5310)=1
Ptn-5311 C: G(5311)=2,Z(5311)=1
Ptn-5312 C: G(5312)=2,Z(5312)=1
Ptn-5313 C: G(5313)=4,Z(5313)=1
Ptn-5314 C: G(5314)=4,Z(5314)=1
Ptn-5315 C: G(5315)=4,Z(5315)=1
Ptn-5316 C: G(5316)=1,Z(5316)=1
Ptn-5317 C: G(5317)=4,Z(5317)=1
Ptn-5318 C: G(5318)=4,Z(5318)=1
Ptn-5319 C: G(5319)=4,Z(5319)=1
Ptn-5320 C: G(5320)=4,Z(5320)=1
Ptn-5321 C: G(5321)=4,Z(5321)=1
Ptn-5322 C: G(5322)=4,Z(5322)=0
Ptn-5323 C: G(5323)=4,Z(5323)=0
Ptn-5324 C: G(5324)=4,Z(5324)=0
Ptn-5325 C: G(5325)=4,Z(5325)=0
Ptn-5326 C: G(5326)=4,Z(5326)=0
Ptn-5327 C: G(5327)=4,Z(5327)=0
Ptn-5328 C: G(5328)=4,Z(5328)=1
Ptn-5329 C: G(5329)=4,Z(5329)=1
Ptn-5330 C: G(5330)=4,Z(5330)=1
Ptn-5331 C: G(5331)=4,Z(5331)=1
Ptn-5332 C: G(5332)=4,Z(5332)=1
Ptn-5333 C: G(5333)=4,Z(5333)=1
Ptn-5334 C: G(5334)=2,Z(5334)=1
Ptn-5335 C: G(5335)=2,Z(5335)=1
Ptn-5336 C: G(5336)=2,Z(5336)=1
Ptn-5337 C: G(5337)=2,Z(5337)=1
Ptn-5338 C: G(5338)=2,Z(5338)=1
Ptn-5339 C: G(5339)=2,Z(5339)=1
Ptn-5340 C: G(5340)=2,Z(5340)=1
Ptn-5341 C: G(5341)=2,Z(5341)=1
Ptn-5342 C: G(5342)=2,Z(5342)=1
Ptn-5343 C: G(5343)=2,Z(5343)=1
Ptn-5344 C: G(5344)=2,Z(5344)=1
Ptn-5345 C: G(5345)=2,Z(5345)=1
Ptn-5346 C: G(5346)=2,Z(5346)=1
Ptn-5347 C: G(5347)=2,Z(5347)=1
Ptn-5348 C: G(5348)=2,Z(5348)=1
Ptn-5349 C: G(5349)=2,Z(5349)=1
Ptn-5350 C: G(5350)=2,Z(5350)=1
Ptn-5351 C: G(5351)=2,Z(5351)=1
Ptn-5352 C: G(5352)=2,Z(5352)=1
Ptn-5353 C: G(5353)=2,Z(5353)=1
Ptn-5354 C: G(5354)=2,Z(5354)=1
Ptn-5355 C: G(5355)=2,Z(5355)=1
Ptn-5356 C: G(5356)=2,Z(5356)=1
Ptn-5357 C: G(5357)=2,Z(5357)=1
Ptn-5358 C: G(5358)=2,Z(5358)=1
Ptn-5359 C: G(5359)=4,Z(5359)=1
Ptn-5360 C: G(5360)=4,Z(5360)=1
Ptn-5361 C: G(5361)=4,Z(5361)=2
Ptn-5362 C: G(5362)=4,Z(5362)=2
Ptn-5363 C: G(5363)=4,Z(5363)=2
Ptn-5364 C: G(5364)=4,Z(5364)=2
Ptn-5365 C: G(5365)=4,Z(5365)=2
Ptn-5366 C: G(5366)=4,Z(5366)=2
Ptn-5367 C: G(5367)=4,Z(5367)=2
Ptn-5368 C: G(5368)=4,Z(5368)=2
Ptn-5369 C: G(5369)=4,Z(5369)=2
Ptn-5370 C: G(5370)=4,Z(5370)=2
Ptn-5371 C: G(5371)=4,Z(5371)=1
Ptn-5372 C: G(5372)=4,Z(5372)=1
Ptn-5373 C: G(5373)=4,Z(5373)=1
Ptn-5374 C: G(5374)=4,Z(5374)=1
Ptn-5375 C: G(5375)=4,Z(5375)=1
Ptn-5376 C: G(5376)=4,Z(5376)=1
Ptn-5377 C: G(5377)=4,Z(5377)=1
Ptn-5378 C: G(5378)=4,Z(5378)=1
Ptn-5379 C: G(5379)=2,Z(5379)=1
Ptn-5380 C: G(5380)=2,Z(5380)=1
Ptn-5381 C: G(5381)=2,Z(5381)=1
Ptn-5382 C: G(5382)=2,Z(5382)=1
Ptn-5383 C: G(5383)=2,Z(5383)=1
Ptn-5384 C: G(5384)=2,Z(5384)=1
Ptn-5385 C: G(5385)=2,Z(5385)=1
Ptn-5386 C: G(5386)=2,Z(5386)=1
Ptn-5387 C: G(5387)=2,Z(5387)=1
Ptn-5388 C: G(5388)=2,Z(5388)=1
Ptn-5389 C: G(5389)=2,Z(5389)=1
Ptn-5390 C: G(5390)=2,Z(5390)=1
Ptn-5391 C: G(5391)=2,Z(5391)=1
Ptn-5392 C: G(5392)=2,Z(5392)=1
Ptn-5393 C: G(5393)=2,Z(5393)=1
Ptn-5394 C: G(5394)=2,Z(5394)=1
Ptn-5395 C: G(5395)=2,Z(5395)=1
Ptn-5396 C: G(5396)=2,Z(5396)=1
Ptn-5397 C: G(5397)=2,Z(5397)=1
Ptn-5398 C: G(5398)=2,Z(5398)=1
Ptn-5399 C: G(5399)=2,Z(5399)=1
Ptn-5400 C: G(5400)=2,Z(5400)=1
Ptn-5401 C: G(5401)=2,Z(5401)=1
Ptn-5402 C: G(5402)=2,Z(5402)=1
Ptn-5403 C: G(5403)=2,Z(5403)=1
Ptn-5404 C: G(5404)=2,Z(5404)=1
Ptn-5405 C: G(5405)=2,Z(5405)=1
Ptn-5406 C: G(5406)=2,Z(5406)=1
Ptn-5407 C: G(5407)=2,Z(5407)=1
Ptn-5408 C: G(5408)=2,Z(5408)=1
Ptn-5409 C: G(5409)=2,Z(5409)=1
Ptn-5410 C: G(5410)=2,Z(5410)=1
Ptn-5411 C: G(5411)=2,Z(5411)=1
Ptn-5412 C: G(5412)=2,Z(5412)=1
Ptn-5413 C: G(5413)=2,Z(5413)=1
Ptn-5414 C: G(5414)=2,Z(5414)=1
Ptn-5415 C: G(5415)=2,Z(5415)=1
Ptn-5416 C: G(5416)=2,Z(5416)=1
Ptn-5417 C: G(5417)=2,Z(5417)=1
Ptn-5418 C: G(5418)=2,Z(5418)=1
Ptn-5419 C: G(5419)=2,Z(5419)=1
Ptn-5420 C: G(5420)=2,Z(5420)=1
Ptn-5421 C: G(5421)=2,Z(5421)=1
Ptn-5422 C: G(5422)=2,Z(5422)=1
Ptn-5423 C: G(5423)=2,Z(5423)=1
Ptn-5424 C: G(5424)=2,Z(5424)=1
Ptn-5425 C: G(5425)=2,Z(5425)=1
Ptn-5426 C: G(5426)=2,Z(5426)=1
Ptn-5427 C: G(5427)=2,Z(5427)=1
Ptn-5428 C: G(5428)=2,Z(5428)=1
Ptn-5429 C: G(5429)=2,Z(5429)=1
Ptn-5430 C: G(5430)=2,Z(5430)=1
Ptn-5431 C: G(5431)=2,Z(5431)=1
Ptn-5432 C: G(5432)=2,Z(5432)=1
Ptn-5433 C: G(5433)=2,Z(5433)=1
Ptn-5434 C: G(5434)=2,Z(5434)=1
Ptn-5435 C: G(5435)=2,Z(5435)=1
Ptn-5436 C: G(5436)=2,Z(5436)=1
Ptn-5437 C: G(5437)=2,Z(5437)=1
Ptn-5438 C: G(5438)=2,Z(5438)=1
Ptn-5439 C: G(5439)=2,Z(5439)=1
Ptn-5440 C: G(5440)=2,Z(5440)=1
Ptn-5441 C: G(5441)=2,Z(5441)=1
Ptn-5442 C: G(5442)=2,Z(5442)=1
Ptn-5443 C: G(5443)=2,Z(5443)=1
Ptn-5444 C: G(5444)=2,Z(5444)=1
Ptn-5445 C: G(5445)=2,Z(5445)=1
Ptn-5446 C: G(5446)=2,Z(5446)=1
Ptn-5447 C: G(5447)=2,Z(5447)=1
Ptn-5448 C: G(5448)=2,Z(5448)=1
Ptn-5449 C: G(5449)=2,Z(5449)=1
Ptn-5450 C: G(5450)=3,Z(5450)=1
Ptn-5451 C: G(5451)=3,Z(5451)=4
Ptn-5452 C: G(5452)=3,Z(5452)=4
Ptn-5453 C: G(5453)=1,Z(5453)=4
Ptn-5454 C: G(5454)=1,Z(5454)=4
Ptn-5455 C: G(5455)=1,Z(5455)=4
Ptn-5456 C: G(5456)=1,Z(5456)=4
Ptn-5457 C: G(5457)=1,Z(5457)=4
Ptn-5458 C: G(5458)=1,Z(5458)=4
Ptn-5459 C: G(5459)=1,Z(5459)=2
Ptn-5460 C: G(5460)=1,Z(5460)=2
Ptn-5461 C: G(5461)=1,Z(5461)=2
Ptn-5462 C: G(5462)=3,Z(5462)=2
Ptn-5463 C: G(5463)=3,Z(5463)=2
Ptn-5464 C: G(5464)=3,Z(5464)=1
Ptn-5465 C: G(5465)=3,Z(5465)=1
Ptn-5466 C: G(5466)=2,Z(5466)=1
Ptn-5467 C: G(5467)=2,Z(5467)=1
Ptn-5468 C: G(5468)=2,Z(5468)=1
Ptn-5469 C: G(5469)=2,Z(5469)=1
Ptn-5470 C: G(5470)=2,Z(5470)=1
Ptn-5471 C: G(5471)=2,Z(5471)=1
Ptn-5472 C: G(5472)=2,Z(5472)=1
Ptn-5473 C: G(5473)=2,Z(5473)=1
Ptn-5474 C: G(5474)=2,Z(5474)=1
Ptn-5475 C: G(5475)=2,Z(5475)=1
Ptn-5476 C: G(5476)=2,Z(5476)=1
Ptn-5477 C: G(5477)=2,Z(5477)=1
Ptn-5478 C: G(5478)=2,Z(5478)=1
Ptn-5479 C: G(5479)=2,Z(5479)=1
Ptn-5480 C: G(5480)=2,Z(5480)=1
Ptn-5481 C: G(5481)=2,Z(5481)=1
Ptn-5482 C: G(5482)=2,Z(5482)=1
Ptn-5483 C: G(5483)=2,Z(5483)=1
Ptn-5484 C: G(5484)=2,Z(5484)=1
Ptn-5485 C: G(5485)=2,Z(5485)=1
Ptn-5486 C: G(5486)=2,Z(5486)=1
Ptn-5487 C: G(5487)=2,Z(5487)=1
Ptn-5488 C: G(5488)=2,Z(5488)=1
Ptn-5489 C: G(5489)=2,Z(5489)=1
Ptn-5490 C: G(5490)=2,Z(5490)=1
Ptn-5491 C: G(5491)=3,Z(5491)=1
Ptn-5492 C: G(5492)=3,Z(5492)=1
Ptn-5493 C: G(5493)=2,Z(5493)=1
Ptn-5494 C: G(5494)=4,Z(5494)=1
Ptn-5495 C: G(5495)=4,Z(5495)=1
Ptn-5496 C: G(5496)=4,Z(5496)=1
Ptn-5497 C: G(5497)=4,Z(5497)=1
Ptn-5498 C: G(5498)=4,Z(5498)=1
Ptn-5499 C: G(5499)=4,Z(5499)=1
Ptn-5500 C: G(5500)=4,Z(5500)=2
Ptn-5501 C: G(5501)=4,Z(5501)=2
Ptn-5502 C: G(5502)=4,Z(5502)=2
Ptn-5503 C: G(5503)=4,Z(5503)=2
Ptn-5504 C: G(5504)=4,Z(5504)=2
Ptn-5505 C: G(5505)=4,Z(5505)=2
Ptn-5506 C: G(5506)=4,Z(5506)=2
Ptn-5507 C: G(5507)=4,Z(5507)=2
Ptn-5508 C: G(5508)=4,Z(5508)=1
Ptn-5509 C: G(5509)=2,Z(5509)=1
Ptn-5510 C: G(5510)=2,Z(5510)=1
Ptn-5511 C: G(5511)=2,Z(5511)=1
Ptn-5512 C: G(5512)=2,Z(5512)=1
Ptn-5513 C: G(5513)=2,Z(5513)=1
Ptn-5514 C: G(5514)=2,Z(5514)=1
Ptn-5515 C: G(5515)=2,Z(5515)=1
Ptn-5516 C: G(5516)=2,Z(5516)=1
Ptn-5517 C: G(5517)=2,Z(5517)=1
Ptn-5518 C: G(5518)=2,Z(5518)=1
Ptn-5519 C: G(5519)=4,Z(5519)=1
